[2013-11-06 18:47:33,511 UTC] [tuf.signerlib] [INFO][generate_and_save_rsa_key:783@signerlib.py] Generated a new key: a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:47:40,094 UTC] [tuf.keystore] [INFO][save_keystore_to_keyfiles:339@keystore.py] Saving private key(s) to '/home/nicholas/Code/gemsontuf/quickstart/keystore'
[2013-11-06 18:47:40,096 UTC] [tuf.keystore] [INFO][save_keystore_to_keyfiles:364@keystore.py] '/home/nicholas/Code/gemsontuf/quickstart/keystore/a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7.key' saved.
[2013-11-06 18:47:40,096 UTC] [tuf.keystore] [INFO][save_keystore_to_keyfiles:366@keystore.py] Done.
[2013-11-06 18:47:40,096 UTC] [tuf.signercli] [INFO][generate_rsa_key:586@signercli.py] Generated a new key: a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:52:52,958 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:242@keystore.py] Loading private key(s) from '/home/nicholas/Code/gemsontuf/quickstart/keystore'
[2013-11-06 18:53:03,156 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:288@keystore.py] Loaded key: a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:53:03,156 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:300@keystore.py] Done.
[2013-11-06 18:53:16,684 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:242@keystore.py] Loading private key(s) from '/home/nicholas/Code/gemsontuf/quickstart/keystore'
[2013-11-06 18:53:18,478 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:290@keystore.py] Key already loaded: a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:53:18,478 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:300@keystore.py] Done.
[2013-11-06 18:53:20,649 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:242@keystore.py] Loading private key(s) from '/home/nicholas/Code/gemsontuf/quickstart/keystore'
[2013-11-06 18:53:22,516 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:290@keystore.py] Key already loaded: a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:53:22,516 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:300@keystore.py] Done.
[2013-11-06 18:53:33,564 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:242@keystore.py] Loading private key(s) from '/home/nicholas/Code/gemsontuf/quickstart/keystore'
[2013-11-06 18:53:35,354 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:290@keystore.py] Key already loaded: a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:53:35,354 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:300@keystore.py] Done.
[2013-11-06 18:53:35,355 UTC] [tuf.signerlib] [INFO][sign_metadata:705@signerlib.py] Signing '/home/nicholas/Code/gemsontuf/metadata/root.txt' with a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:53:35,370 UTC] [tuf.signerlib] [INFO][write_metadata_file:597@signerlib.py] No compression for /home/nicholas/Code/gemsontuf/metadata/root.txt
[2013-11-06 18:53:35,370 UTC] [tuf.signerlib] [INFO][write_metadata_file:608@signerlib.py] Writing to /home/nicholas/Code/gemsontuf/metadata/root.txt
[2013-11-06 18:55:11,557 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:242@keystore.py] Loading private key(s) from '/home/nicholas/Code/gemsontuf/quickstart/keystore'
[2013-11-06 18:55:15,926 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:288@keystore.py] Loaded key: a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:55:15,926 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:300@keystore.py] Done.
[2013-11-06 18:55:15,926 UTC] [tuf.signerlib] [INFO][sign_metadata:705@signerlib.py] Signing '/home/nicholas/Code/gemsontuf/metadata/targets.txt' with a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:55:15,938 UTC] [tuf.signerlib] [INFO][write_metadata_file:597@signerlib.py] No compression for /home/nicholas/Code/gemsontuf/metadata/targets.txt
[2013-11-06 18:55:15,938 UTC] [tuf.signerlib] [INFO][write_metadata_file:608@signerlib.py] Writing to /home/nicholas/Code/gemsontuf/metadata/targets.txt
[2013-11-06 18:56:25,880 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:242@keystore.py] Loading private key(s) from '/home/nicholas/Code/gemsontuf/quickstart/keystore'
[2013-11-06 18:56:31,208 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:288@keystore.py] Loaded key: a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:56:31,210 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:300@keystore.py] Done.
[2013-11-06 18:56:31,211 UTC] [tuf.signerlib] [INFO][sign_metadata:705@signerlib.py] Signing '/home/nicholas/Code/gemsontuf/metadata/release.txt' with a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:56:31,222 UTC] [tuf.signerlib] [DEBUG][build_release_file:1237@signerlib.py] No compressed version of release metadata will be included.
[2013-11-06 18:56:31,222 UTC] [tuf.signerlib] [INFO][write_metadata_file:597@signerlib.py] No compression for /home/nicholas/Code/gemsontuf/metadata/release.txt
[2013-11-06 18:56:31,222 UTC] [tuf.signerlib] [INFO][write_metadata_file:608@signerlib.py] Writing to /home/nicholas/Code/gemsontuf/metadata/release.txt
[2013-11-06 18:56:31,223 UTC] [tuf.signerlib] [INFO][build_release_file:1240@signerlib.py] Wrote /home/nicholas/Code/gemsontuf/metadata/release.txt
[2013-11-06 18:57:09,777 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:242@keystore.py] Loading private key(s) from '/home/nicholas/Code/gemsontuf/quickstart/keystore'
[2013-11-06 18:57:16,110 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:288@keystore.py] Loaded key: a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:57:16,110 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:300@keystore.py] Done.
[2013-11-06 18:57:16,111 UTC] [tuf.signerlib] [INFO][build_timestamp_file:1306@signerlib.py] Including ('gz',) versions of release in timestamp.
[2013-11-06 18:57:16,111 UTC] [tuf.signerlib] [WARNING][generate_timestamp_metadata:533@signerlib.py] Could not get fileinfo about /home/nicholas/Code/gemsontuf/metadata/release.txt.gz
[2013-11-06 18:57:16,111 UTC] [tuf.signerlib] [INFO][sign_metadata:705@signerlib.py] Signing '/home/nicholas/Code/gemsontuf/metadata/timestamp.txt' with a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-06 18:57:16,122 UTC] [tuf.signerlib] [INFO][write_metadata_file:597@signerlib.py] No compression for /home/nicholas/Code/gemsontuf/metadata/timestamp.txt
[2013-11-06 18:57:16,122 UTC] [tuf.signerlib] [INFO][write_metadata_file:608@signerlib.py] Writing to /home/nicholas/Code/gemsontuf/metadata/timestamp.txt
[2013-11-09 01:11:05,182 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:242@keystore.py] Loading private key(s) from '/home/nek/Desktop/gemsonTUF/gemsontuf/quickstart/keystore'
[2013-11-09 01:11:07,935 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:288@keystore.py] Loaded key: a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-09 01:11:07,935 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:300@keystore.py] Done.
[2013-11-09 01:11:07,939 UTC] [tuf.signerlib] [INFO][sign_metadata:705@signerlib.py] Signing '/home/nek/Desktop/gemsonTUF/gemsontuf/quickstart/repository/metadata/targets.txt' with a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-09 01:11:07,944 UTC] [tuf.signerlib] [INFO][write_metadata_file:597@signerlib.py] No compression for /home/nek/Desktop/gemsonTUF/gemsontuf/quickstart/repository/metadata/targets.txt
[2013-11-09 01:11:07,944 UTC] [tuf.signerlib] [INFO][write_metadata_file:608@signerlib.py] Writing to /home/nek/Desktop/gemsonTUF/gemsontuf/quickstart/repository/metadata/targets.txt
[2013-11-09 01:12:17,915 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:242@keystore.py] Loading private key(s) from '/home/nek/Desktop/gemsonTUF/gemsontuf/quickstart/keystore'
[2013-11-09 01:12:20,548 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:288@keystore.py] Loaded key: a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-09 01:12:20,548 UTC] [tuf.keystore] [INFO][load_keystore_from_keyfiles:300@keystore.py] Done.
[2013-11-09 01:12:20,549 UTC] [tuf.signerlib] [INFO][sign_metadata:705@signerlib.py] Signing '/home/nek/Desktop/gemsonTUF/gemsontuf/quickstart/repository/metadata/release.txt' with a48adfc56133e328957ecbe2511b726573cfc02091dc534357f4a436b3da7cc7
[2013-11-09 01:12:20,553 UTC] [tuf.signerlib] [DEBUG][build_release_file:1237@signerlib.py] No compressed version of release metadata will be included.
[2013-11-09 01:12:20,553 UTC] [tuf.signerlib] [INFO][write_metadata_file:597@signerlib.py] No compression for /home/nek/Desktop/gemsonTUF/gemsontuf/quickstart/repository/metadata/release.txt
[2013-11-09 01:12:20,553 UTC] [tuf.signerlib] [INFO][write_metadata_file:608@signerlib.py] Writing to /home/nek/Desktop/gemsonTUF/gemsontuf/quickstart/repository/metadata/release.txt
